version,nb_nfiles,nb_blank,nb_comment,nb_code,date
1.4,1522,30677,86915,190739,2009-01-06
1.5.0,1910,37080,102090,226720,2009-02-18
1.5.1,1917,36759,101319,225933,2009-08-05
1.5.2,2017,37728,95549,232494,2009-08-17
1.6.1,2122,40462,124203,249289,2009-11-05
2.0.0,2442,44423,126329,278339,2010-06-05
2.0.1,2480,44665,126339,279553,2010-07-06
3.0.0,3096,55890,144107,348907,2012-02-07
3.0.1,3103,56118,145165,352923,2012-03-12
3.1.0,3049,56146,146206,355170,2012-06-22
3.1.1,3052,56259,146509,355927,2012-09-17
3.1.2,3053,56274,146537,356014,2012-09-27
3.2.0,3224,61439,195010,374607,2012-12-17
3.2.1,3408,70064,202954,423736,2013-02-28
3.2.2,3404,70046,202917,423678,2013-04-16
3.3.0,4071,84833,242286,514197,2013-06-20
3.3.1,4150,86237,244147,523025,2013-09-11
3.3.2,4150,86258,244174,523242,2013-10-24
3.4.0,3716,74219,230815,454270,2013-10-24
3.4.1,3734,74369,231486,454374,2013-12-16
3.4.2,3734,74416,231493,454828,2014-02-25
v4.0.0,4044,81339,238674,505291,2014-05-30
v4.0.1,4116,82801,240437,515384,2014-08-04
v4.0.2,4117,82875,240747,515728,2014-11-03
v4.1.0,4078,82945,235580,513437,2015-01-28
v4.1.1,4080,83111,234699,515789,2015-05-07
v4.1.2,4080,83165,234768,516155,2015-07-28
v4.2.0,3753,75398,222721,465325,2015-10-22
v4.2.1,3752,75508,222743,465802,2015-12-07
v4.2.2,3753,75575,222844,466492,2016-04-27
v4.3.0,3562,74115,217910,469033,2016-08-09
v4.3.1,3560,74132,217899,469412,2016-12-14
v4.4.0,3420,72159,207005,459961,2017-03-07
v4.4.1,3420,72220,207120,460844,2017-05-08
v4.4.2,3420,72230,207124,461067,2017-08-30
